Whisper- https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2841133
Nebkher - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2842037
Wuk - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2833232
Tigerclaw - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2826969
Arien - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2826351
Xargatha - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2824316
Ignatia - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2835986
Cutter - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2834029
Tali - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2831695
Swift - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2840029
Garrus - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2839437
Min - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2838701

Misa - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2837814
Bain - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2836959
Ursafar - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2834913
Trinkets - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2832622
Hanu - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2830476
Silverarrow - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2829738
Brogan - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2828536
Wasp - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2827753
Sabina - https://www.kickstarter.com/projects/wolffdesigna/guards-of-atlantis-ii-tabletop-moba/posts/2825155
